"","orig.dest","orig","dest","year","orig_code","dest_code","flows","contig","comlang_off","colony","dist","col45","landlocked_orig","landlocked_dest","gdp_pc_dest","gdp_pc_orig","population_dest","population_orig"
"125","CAN_AUS","CAN","AUS",2020,124,36,7149,0,1,0,15586.66,0,0,0,46255.9119868882,42543.6124673241,25499881,37742157
"126","CHE_AUS","CHE","AUS",2000,756,36,255,0,0,0,16673.2,0,1,0,36510.1629185009,52066.4305276534,18991434,7143764
"127","CHE_AUS","CHE","AUS",2005,756,36,1434,0,0,0,16673.2,0,1,0,40542.4981461435,54006.492021562,20178543,7386818
"128","CHE_AUS","CHE","AUS",2010,756,36,1431,0,0,0,16673.2,0,1,0,42588.4509885439,57468.4806641934,22154687,7808674
"129","CHE_AUS","CHE","AUS",2015,756,36,1110,0,0,0,16673.2,0,1,0,45369.3103353939,59226.6392585925,23932499,8296775
"130","CHE_AUS","CHE","AUS",2020,756,36,695,0,0,0,16673.2,0,1,0,46255.9119868882,60165.3365789825,25499881,8654618
"131","CHL_AUS","CHL","AUS",2000,152,36,153,0,0,0,11353.72,0,0,0,36510.1629185009,14292.6247704295,18991434,15342350
"132","CHL_AUS","CHL","AUS",2005,152,36,940,0,0,0,11353.72,0,0,0,40542.4981461435,16994.9474845725,20178543,16182713
"133","CHL_AUS","CHL","AUS",2010,152,36,1028,0,0,0,11353.72,0,0,0,42588.4509885439,19428.3526269097,22154687,17062531
"134","CHL_AUS","CHL","AUS",2015,152,36,1190,0,0,0,11353.72,0,0,0,45369.3103353939,22505.5285702682,23932499,17969356
"135","CHL_AUS","CHL","AUS",2020,152,36,1031,0,0,0,11353.72,0,0,0,46255.9119868882,22092.3144933781,25499881,19116209
"136","CHN_AUS","CHN","AUS",2000,156,36,8055,0,0,0,8956.436,0,0,0,36510.1629185009,3628.766672927,18991434,1290550767
"137","CHN_AUS","CHN","AUS",2005,156,36,54487,0,0,0,8956.436,0,0,0,40542.4981461435,5621.60426141516,20178543,1330776380
